unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_2575464ebf02b6,WOREC,worec,act_74f09f5dba8b23,ind_4434375aff60cd,CCIMHUM,activity 5 coordination cost for anticipatory action madhesh koshi sudurpachhim,,plans for institutionalizing srh including misp and gbv in disaster preparedness and response are available at the federal provincial and local levels target yes,"Strengthen Coordination Between Local Disaster Management Committees (LDMCs), Community-Based Organizations (CBOs), and Women’s Networks","Outcome 4: Strengthened national, subnational and community capacities to build resilience and ensure continuation of inclusive, life-saving high-quality sexual and reproductive health and gender-based violence services in humanitarian settings",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,3.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_724158e40e3b1c,WOREC,worec,act_52f549b35b09dc,,MONITORHUM,6 monitoring of humanitarian response programme,,,"Strengthen Coordination Between Local Disaster Management Committees (LDMCs), Community-Based Organizations (CBOs), and Women’s Networks","Outcome 4: Strengthened national, subnational and community capacities to build resilience and ensure continuation of inclusive, life-saving high-quality sexual and reproductive health and gender-based violence services in humanitarian settings",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,4.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_8721b0f5b3fe4e,WOREC,worec,act_1935c977e242c4,,ADVEEGBVPR241,sub activity 17 orientation on gbv survivor centered approach responsible business to private sector,,,Output 1: Public and private partnerships are formed around the creation of employment pathways for gender-based violence survivors and vulnerable women and girls,"Outcome 2. Local governments, legal authorities and health facilities provide effective (multi-sectoral) survivor-centred responses to gender-based violence.",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,5.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_072d51fa28363a,WOREC,worec,act_6cce5e53f39287,,ADVEEGBVPR242,sub activity 18 developing tripartite partnership agreement with the private sector local government and worec,,,Output 1: Public and private partnerships are formed around the creation of employment pathways for gender-based violence survivors and vulnerable women and girls,"Outcome 2. Local governments, legal authorities and health facilities provide effective (multi-sectoral) survivor-centred responses to gender-based violence.",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,6.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_68357fd74f15e2,WOREC,worec,act_d3ae0caa8ce0cb,,CDEEGBVPR341,sub activity 19 orientation on gbv elimination fund guidelines to palika to be organized at the palika hall and facilitated by unfpa staff,,,Output 2: Strengthened local government systems for utilisation of existing survivor funds.,"Outcome 2. Local governments, legal authorities and health facilities provide effective (multi-sectoral) survivor-centred responses to gender-based violence.",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,7.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_4015e3deb649f0,WOREC,worec,act_07c7d566b9050a,,CDEEGBVPR342,sub activity 20 gbv elimination and other employment fund to support local government led employment training and follow up training,,,Output 2: Strengthened local government systems for utilisation of existing survivor funds.,"Outcome 2. Local governments, legal authorities and health facilities provide effective (multi-sectoral) survivor-centred responses to gender-based violence.",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,8.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_5b26f72533a55a,WOREC,worec,act_c08d146f24bd52,,CDEEGBVPR343,sub activiity 20 2 foundational and job readiness financial literacy leadership training before the training 5 days training in 3 groups each group contains 25 participants trainner npr 12k per day rate,,,Output 2: Strengthened local government systems for utilisation of existing survivor funds.,"Outcome 2. Local governments, legal authorities and health facilities provide effective (multi-sectoral) survivor-centred responses to gender-based violence.",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,9.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_5a5afc2ad5447d,WOREC,worec,act_3b1a4a8e34e265,,CDEEGBVPR344,sub activity 21 support loval government to run post training support coaching mentoring counseling leadership and employment contract facilitation,,,Output 2: Strengthened local government systems for utilisation of existing survivor funds.,"Outcome 2. Local governments, legal authorities and health facilities provide effective (multi-sectoral) survivor-centred responses to gender-based violence.",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,10.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_973889c0e3d7d9,WOREC,worec,act_ceaa19c96eb3d1,,MONITOREEGBVPR,22 monitoring of economic empowerment programme,,,Output 2: Strengthened local government systems for utilisation of existing survivor funds.,"Outcome 2. Local governments, legal authorities and health facilities provide effective (multi-sectoral) survivor-centred responses to gender-based violence.",,,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,11.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_bf9624a7daf408,WOREC,worec,act_965889aaa7a83f,ind_5dd4c580df455d,HUMRSPIEC,activity 3 develop risk communication plan of 5 municipalities gaur rajpur yamunamai saphebagar maharjgunj,hum_worec2,4 number of monitoring visits conducted to assess the integration of srh and gbv in multi hazard risk monitoring and communication mechanisms target 5,"Strengthen Coordination Between Local Disaster Management Committees (LDMCs), Community-Based Organizations (CBOs), and Women’s Networks","Outcome 4: Strengthened national, subnational and community capacities to build resilience and ensure continuation of inclusive, life-saving high-quality sexual and reproductive health and gender-based violence services in humanitarian settings",Number of municipalities integrating sexual and reproductive health and gender-based violence prevention and response concerns in their multi-hazard risk monitoring and communication mechanisms. Baseline: 0 (2021); Target: 5 [2026],,,2026.0,,,unknown,worecprograminidcator.xlsx,worec_activitylist,2.0,source_activity_indicator_field,0.95,matched_direct,pending_user_validation,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_e0fcc2dd9d523f,WOREC,HUMRSPIEC,"Activity 3 Develop risk communication plan of 5 municipalities ( Gaur, Rajpur, Yamunamai, Saphebagar, Maharjgunj)",hum_worec2,4: Number of monitoring visits conducted to assess the integration of SRH and GBV in multi-hazard risk monitoring and communication mechanisms. Target: 5,unknown,unknown,unknown,unknown,worecprograminidcator.xlsx,worec_activitylist,2.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
